"quantile","target_end_date","location","target","truth","value","model","window_size"
0.15,2020-08-29,"40","1 wk ahead cum death",797,778.118489356149,"QNA3",4
0.15,2020-08-29,"20","1 wk ahead cum death",449,443.49391405205,"QNA3",4
0.15,2020-08-29,"44","1 wk ahead cum death",1046,1032.45692929039,"QNA3",4
0.15,2020-08-29,"26","1 wk ahead cum death",6712,6702.27697289028,"QNA3",4
0.15,2020-08-29,"47","1 wk ahead cum death",1725,1707.00520765439,"QNA3",4
0.15,2020-08-29,"22","1 wk ahead cum death",4904,4867.65135649417,"QNA3",4
0.15,2020-08-29,"39","1 wk ahead cum death",4126,4088.51122408819,"QNA3",4
0.15,2020-08-29,"25","1 wk ahead cum death",9036,8975.74136135184,"QNA3",4
0.15,2020-08-29,"46","1 wk ahead cum death",167,162.821467923795,"QNA3",4
0.15,2020-08-29,"28","1 wk ahead cum death",2427,2359.75493943653,"QNA3",4
0.15,2020-08-29,"41","1 wk ahead cum death",454,436.68708070791,"QNA3",4
0.15,2020-08-29,"24","1 wk ahead cum death",3746,3723.31388831117,"QNA3",4
0.15,2020-08-29,"31","1 wk ahead cum death",392,385.380195129499,"QNA3",4
0.15,2020-08-29,"37","1 wk ahead cum death",2683,2666.76826997429,"QNA3",4
0.15,2020-08-29,"48","1 wk ahead cum death",12987,12637.1159766043,"QNA3",4
0.15,2020-08-29,"08","1 wk ahead cum death",1942,1937.17567199346,"QNA3",4
0.15,2020-08-29,"51","1 wk ahead cum death",2568,2503.77556113097,"QNA3",4
0.15,2020-08-29,"33","1 wk ahead cum death",432,431.41969425007,"QNA3",4
0.15,2020-08-29,"06","1 wk ahead cum death",12894,13033.0840641267,"QNA3",4
0.15,2020-08-29,"29","1 wk ahead cum death",1528,1507.59699622354,"QNA3",4
0.15,2020-08-29,"36","1 wk ahead cum death",32891,32898.7155168133,"QNA3",4
0.15,2020-08-29,"32","1 wk ahead cum death",1302,1298.64437130305,"QNA3",4
0.15,2020-08-29,"54","1 wk ahead cum death",215,190.149450549989,"QNA3",4
0.15,2020-08-29,"38","1 wk ahead cum death",141,142.173384295542,"QNA3",4
0.15,2020-08-29,"49","1 wk ahead cum death",407,398.762324612398,"QNA3",4
0.15,2020-08-29,"04","1 wk ahead cum death",5007,4962.9995927056,"QNA3",4
0.15,2020-08-29,"27","1 wk ahead cum death",1863,1850.3827993769,"QNA3",4
0.15,2020-08-29,"34","1 wk ahead cum death",15933,15961.998639906,"QNA3",4
0.15,2020-08-29,"01","1 wk ahead cum death",2152,2089.86330927286,"QNA3",4
0.15,2020-08-29,"02","1 wk ahead cum death",37,33.3526127322301,"QNA3",4
0.15,2020-08-29,"16","1 wk ahead cum death",358,332.16879958455,"QNA3",4
0.15,2020-08-29,"05","1 wk ahead cum death",772,742.357169495953,"QNA3",4
0.15,2020-08-29,"35","1 wk ahead cum death",769,765.949041013655,"QNA3",4
0.15,2020-08-29,"10","1 wk ahead cum death",604,600.961938916221,"QNA3",4
0.15,2020-08-29,"15","1 wk ahead cum death",62,49.4485598571341,"QNA3",4
0.15,2020-08-29,"13","1 wk ahead cum death",5576,5474.16089698995,"QNA3",4
0.15,2020-08-29,"17","1 wk ahead cum death",8217,8203.05782088149,"QNA3",4
0.15,2020-08-29,"18","1 wk ahead cum death",3285,3298.23392583657,"QNA3",4
0.15,2020-08-29,"12","1 wk ahead cum death",11105,11038.3563853109,"QNA3",4
0.15,2020-08-29,"09","1 wk ahead cum death",4465,4461.73439316414,"QNA3",4
0.2,2020-08-29,"25","1 wk ahead cum death",9036,8979.62823668113,"QNA3",4
0.2,2020-08-29,"48","1 wk ahead cum death",12987,12670.8836126281,"QNA3",4
0.2,2020-08-29,"49","1 wk ahead cum death",407,399.868781701312,"QNA3",4
0.2,2020-08-29,"47","1 wk ahead cum death",1725,1710.1973772953,"QNA3",4
0.2,2020-08-29,"26","1 wk ahead cum death",6712,6707.21803098864,"QNA3",4
0.2,2020-08-29,"37","1 wk ahead cum death",2683,2672.11682197875,"QNA3",4
0.2,2020-08-29,"23","1 wk ahead cum death",132,132.446678582795,"QNA3",4
0.2,2020-08-29,"10","1 wk ahead cum death",604,601.960333677958,"QNA3",4
0.2,2020-08-29,"32","1 wk ahead cum death",1302,1303.47435986891,"QNA3",4
0.2,2020-08-29,"06","1 wk ahead cum death",12894,13060.70759278,"QNA3",4
0.2,2020-08-29,"50","1 wk ahead cum death",58,58.0095906242233,"QNA3",4
0.2,2020-08-29,"38","1 wk ahead cum death",141,142.724995965347,"QNA3",4
0.2,2020-08-29,"45","1 wk ahead cum death",2698,2659.45077053836,"QNA3",4
0.2,2020-08-29,"40","1 wk ahead cum death",797,780.355645275045,"QNA3",4
0.2,2020-08-29,"41","1 wk ahead cum death",454,438.33265747539,"QNA3",4
0.2,2020-08-29,"08","1 wk ahead cum death",1942,1938.65568163596,"QNA3",4
0.2,2020-08-29,"51","1 wk ahead cum death",2568,2507.97339312119,"QNA3",4
0.2,2020-08-29,"12","1 wk ahead cum death",11105,11062.1226954401,"QNA3",4
0.2,2020-08-29,"27","1 wk ahead cum death",1863,1852.36658601034,"QNA3",4
0.2,2020-08-29,"42","1 wk ahead cum death",7656,7641.28757301803,"QNA3",4
0.2,2020-08-29,"29","1 wk ahead cum death",1528,1511.60063279806,"QNA3",4
0.2,2020-08-29,"39","1 wk ahead cum death",4126,4093.43175380353,"QNA3",4
0.2,2020-08-29,"33","1 wk ahead cum death",432,431.486907696955,"QNA3",4
0.2,2020-08-29,"28","1 wk ahead cum death",2427,2363.39176674295,"QNA3",4
0.2,2020-08-29,"35","1 wk ahead cum death",769,767.844575863354,"QNA3",4
0.2,2020-08-29,"24","1 wk ahead cum death",3746,3727.4357223677,"QNA3",4
